Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,100,7,Some Random Commen with Id 0
1,0,8,84,6,Some Random Commen with Id 1
2,0,8,34,3,Some Random Commen with Id 2
3,0,8,48,5,Some Random Commen with Id 3
4,0,8,86,4,Some Random Commen with Id 4
5,0,8,16,2,Some Random Commen with Id 5
6,0,8,145,5,Some Random Commen with Id 6
7,0,8,3,8,Some Random Commen with Id 7
8,1,7,65,3,Some Random Commen with Id 8
9,1,7,141,0,Some Random Commen with Id 9
10,1,7,13,7,Some Random Commen with Id 10
11,1,7,75,9,Some Random Commen with Id 11
12,1,7,93,4,Some Random Commen with Id 12
13,2,6,14,4,Some Random Commen with Id 13
14,2,6,24,3,Some Random Commen with Id 14
15,2,6,133,5,Some Random Commen with Id 15
16,2,6,24,1,Some Random Commen with Id 16
17,2,6,160,0,Some Random Commen with Id 17
18,2,6,14,4,Some Random Commen with Id 18
19,2,6,99,8,Some Random Commen with Id 19
20,2,6,33,2,Some Random Commen with Id 20
21,2,6,79,3,Some Random Commen with Id 21
22,3,7,157,0,Some Random Commen with Id 22
23,3,7,102,5,Some Random Commen with Id 23
24,3,7,160,2,Some Random Commen with Id 24
25,3,7,31,1,Some Random Commen with Id 25
26,3,7,23,9,Some Random Commen with Id 26
27,3,7,17,7,Some Random Commen with Id 27
28,3,7,10,4,Some Random Commen with Id 28
29,3,7,85,7,Some Random Commen with Id 29
30,4,4,109,0,Some Random Commen with Id 30
31,4,4,7,1,Some Random Commen with Id 31
32,4,4,64,4,Some Random Commen with Id 32
33,4,4,150,7,Some Random Commen with Id 33
34,4,4,55,3,Some Random Commen with Id 34
35,4,4,195,8,Some Random Commen with Id 35
36,4,4,134,1,Some Random Commen with Id 36
37,4,4,193,6,Some Random Commen with Id 37
38,4,4,7,8,Some Random Commen with Id 38
39,5,7,112,9,Some Random Commen with Id 39
40,5,7,35,2,Some Random Commen with Id 40
41,5,7,60,6,Some Random Commen with Id 41
42,5,7,0,3,Some Random Commen with Id 42
43,5,7,39,8,Some Random Commen with Id 43
44,5,7,22,7,Some Random Commen with Id 44
45,6,1,33,5,Some Random Commen with Id 45
46,6,1,112,8,Some Random Commen with Id 46
47,6,1,148,4,Some Random Commen with Id 47
48,6,1,137,8,Some Random Commen with Id 48
49,6,1,43,2,Some Random Commen with Id 49
50,6,1,129,0,Some Random Commen with Id 50
51,6,1,138,0,Some Random Commen with Id 51
52,7,9,76,1,Some Random Commen with Id 52
53,7,9,73,2,Some Random Commen with Id 53
54,7,9,69,8,Some Random Commen with Id 54
55,7,9,133,3,Some Random Commen with Id 55
56,7,9,75,7,Some Random Commen with Id 56
57,7,9,147,9,Some Random Commen with Id 57
58,8,7,199,8,Some Random Commen with Id 58
59,8,7,178,9,Some Random Commen with Id 59
60,8,7,163,8,Some Random Commen with Id 60
61,8,7,34,7,Some Random Commen with Id 61
62,8,7,169,9,Some Random Commen with Id 62
63,8,7,156,6,Some Random Commen with Id 63
64,8,7,47,6,Some Random Commen with Id 64
65,9,1,88,7,Some Random Commen with Id 65
66,9,1,182,1,Some Random Commen with Id 66
67,9,1,158,4,Some Random Commen with Id 67
68,9,1,32,4,Some Random Commen with Id 68
69,9,1,62,9,Some Random Commen with Id 69
70,9,1,113,3,Some Random Commen with Id 70
71,9,1,172,5,Some Random Commen with Id 71
72,10,2,133,5,Some Random Commen with Id 72
73,11,0,20,6,Some Random Commen with Id 73
74,11,0,99,9,Some Random Commen with Id 74
75,11,0,116,5,Some Random Commen with Id 75
76,11,0,96,9,Some Random Commen with Id 76
77,11,0,52,2,Some Random Commen with Id 77
78,12,5,104,9,Some Random Commen with Id 78
79,12,5,133,8,Some Random Commen with Id 79
80,12,5,172,5,Some Random Commen with Id 80
81,12,5,49,2,Some Random Commen with Id 81
82,12,5,147,2,Some Random Commen with Id 82
83,13,1,158,8,Some Random Commen with Id 83
84,13,1,28,5,Some Random Commen with Id 84
85,13,1,25,3,Some Random Commen with Id 85
86,14,5,127,0,Some Random Commen with Id 86
87,14,5,84,2,Some Random Commen with Id 87
88,14,5,21,6,Some Random Commen with Id 88
89,14,5,164,2,Some Random Commen with Id 89
90,14,5,188,7,Some Random Commen with Id 90
91,14,5,143,8,Some Random Commen with Id 91
92,15,4,101,2,Some Random Commen with Id 92
93,15,4,118,8,Some Random Commen with Id 93
94,15,4,147,1,Some Random Commen with Id 94
95,16,0,59,9,Some Random Commen with Id 95
96,16,0,182,4,Some Random Commen with Id 96
97,16,0,112,5,Some Random Commen with Id 97
98,16,0,78,4,Some Random Commen with Id 98
99,16,0,39,7,Some Random Commen with Id 99
100,16,0,48,2,Some Random Commen with Id 100
101,16,0,113,0,Some Random Commen with Id 101
102,16,0,186,0,Some Random Commen with Id 102
103,17,9,156,3,Some Random Commen with Id 103
104,18,4,148,7,Some Random Commen with Id 104
105,19,6,0,2,Some Random Commen with Id 105
106,19,6,115,4,Some Random Commen with Id 106
107,20,7,151,1,Some Random Commen with Id 107
108,20,7,119,7,Some Random Commen with Id 108
109,20,7,187,2,Some Random Commen with Id 109
110,21,0,28,3,Some Random Commen with Id 110
111,21,0,164,8,Some Random Commen with Id 111
112,21,0,93,9,Some Random Commen with Id 112
113,21,0,69,9,Some Random Commen with Id 113
114,22,1,95,2,Some Random Commen with Id 114
115,24,6,192,4,Some Random Commen with Id 115
116,24,6,46,0,Some Random Commen with Id 116
117,24,6,116,1,Some Random Commen with Id 117
118,24,6,194,7,Some Random Commen with Id 118
119,24,6,189,1,Some Random Commen with Id 119
120,24,6,189,4,Some Random Commen with Id 120
121,24,6,160,6,Some Random Commen with Id 121
122,25,9,76,9,Some Random Commen with Id 122
123,25,9,110,3,Some Random Commen with Id 123
124,26,4,91,8,Some Random Commen with Id 124
125,26,4,50,3,Some Random Commen with Id 125
126,26,4,137,0,Some Random Commen with Id 126
127,26,4,110,0,Some Random Commen with Id 127
128,27,9,123,9,Some Random Commen with Id 128
129,27,9,93,5,Some Random Commen with Id 129
130,27,9,26,9,Some Random Commen with Id 130
131,27,9,139,3,Some Random Commen with Id 131
132,27,9,33,0,Some Random Commen with Id 132
133,27,9,124,9,Some Random Commen with Id 133
134,28,9,49,2,Some Random Commen with Id 134
135,28,9,99,3,Some Random Commen with Id 135
136,28,9,26,9,Some Random Commen with Id 136
137,28,9,43,1,Some Random Commen with Id 137
138,28,9,8,0,Some Random Commen with Id 138
139,28,9,190,2,Some Random Commen with Id 139
140,28,9,102,0,Some Random Commen with Id 140
141,28,9,134,1,Some Random Commen with Id 141
142,29,6,79,4,Some Random Commen with Id 142
143,29,6,32,9,Some Random Commen with Id 143
144,30,9,20,4,Some Random Commen with Id 144
145,30,9,79,8,Some Random Commen with Id 145
146,30,9,1,4,Some Random Commen with Id 146
147,31,0,38,0,Some Random Commen with Id 147
148,31,0,53,8,Some Random Commen with Id 148
149,31,0,53,2,Some Random Commen with Id 149
150,31,0,54,1,Some Random Commen with Id 150
151,31,0,104,2,Some Random Commen with Id 151
152,32,7,115,4,Some Random Commen with Id 152
153,32,7,123,5,Some Random Commen with Id 153
154,32,7,137,7,Some Random Commen with Id 154
155,32,7,65,3,Some Random Commen with Id 155
156,32,7,35,9,Some Random Commen with Id 156
157,32,7,161,5,Some Random Commen with Id 157
158,32,7,147,0,Some Random Commen with Id 158
159,33,7,150,4,Some Random Commen with Id 159
160,33,7,47,4,Some Random Commen with Id 160
161,33,7,80,2,Some Random Commen with Id 161
162,33,7,158,5,Some Random Commen with Id 162
163,33,7,186,9,Some Random Commen with Id 163
164,33,7,16,1,Some Random Commen with Id 164
165,34,0,23,3,Some Random Commen with Id 165
166,34,0,27,2,Some Random Commen with Id 166
167,34,0,49,6,Some Random Commen with Id 167
168,34,0,4,2,Some Random Commen with Id 168
169,34,0,75,7,Some Random Commen with Id 169
170,34,0,26,0,Some Random Commen with Id 170
171,34,0,32,7,Some Random Commen with Id 171
172,34,0,58,5,Some Random Commen with Id 172
173,35,3,146,8,Some Random Commen with Id 173
174,36,2,164,9,Some Random Commen with Id 174
175,36,2,66,7,Some Random Commen with Id 175
176,36,2,85,9,Some Random Commen with Id 176
177,36,2,77,2,Some Random Commen with Id 177
178,37,9,164,4,Some Random Commen with Id 178
179,37,9,106,9,Some Random Commen with Id 179
180,37,9,83,1,Some Random Commen with Id 180
181,37,9,82,7,Some Random Commen with Id 181
182,37,9,178,2,Some Random Commen with Id 182
183,38,2,45,7,Some Random Commen with Id 183
184,38,2,78,9,Some Random Commen with Id 184
185,38,2,29,0,Some Random Commen with Id 185
186,38,2,198,9,Some Random Commen with Id 186
187,38,2,156,5,Some Random Commen with Id 187
188,38,2,174,5,Some Random Commen with Id 188
189,39,2,82,2,Some Random Commen with Id 189
190,39,2,26,3,Some Random Commen with Id 190
191,39,2,183,2,Some Random Commen with Id 191
192,39,2,136,3,Some Random Commen with Id 192
193,39,2,69,2,Some Random Commen with Id 193
